Gap_4_Candles,Opening_5th_Candle,Max_Next_4,Min_Next_4
3.6,1888.688,1888.688,1886.878
2.633,1887.545,1888.485,1886.665
1.87,1888.008,1888.485,1885.988
1.87,1887.568,1888.485,1885.035
1.81,1887.515,1888.215,1884.555
1.82,1887.335,1888.215,1884.555
2.497,1886.088,1888.568,1884.555
3.45,1885.275,1891.098,1884.555
3.66,1885.025,1891.098,1884.975
3.66,1887.768,1891.098,1886.548
4.013,1888.518,1891.098,1887.505
6.543,1890.255,1891.588,1887.505
6.123,1887.725,1892.355,1887.708
4.55,1888.785,1892.515,1888.258
3.593,1889.475,1892.515,1888.975
4.083,1891.278,1892.695,1890.758
4.647,1892.248,1892.725,1890.758
4.257,1891.145,1893.378,1891.065
3.54,1891.158,1893.378,1891.095
1.937,1892.648,1894.728,1891.218
1.967,1892.318,1895.415,1891.988
2.313,1893.095,1895.415,1892.255
2.283,1892.525,1895.415,1892.368
3.51,1894.258,1895.415,1892.368
3.427,1894.328,1894.388,1892.305
3.16,1892.578,1894.798,1892.305
3.047,1892.918,1897.355,1892.305
3.047,1893.828,1899.918,1892.305
2.083,1892.878,1899.918,1892.615
2.493,1894.528,1900.078,1894.528
5.05,1896.818,1900.078,1895.698
7.613,1896.708,1900.078,1894.498
7.303,1896.715,1900.078,1894.498
5.55,1897.835,1898.085,1894.498
4.38,1895.848,1897.595,1894.498
5.58,1895.635,1897.595,1893.158
5.58,1896.915,1897.225,1893.158
3.587,1896.245,1896.768,1893.158
3.097,1895.445,1896.845,1893.118
4.437,1894.265,1896.845,1893.118
4.067,1894.235,1898.208,1893.118
3.61,1895.425,1898.208,1893.118
3.727,1893.548,1898.208,1893.548
3.727,1895.575,1898.208,1895.215
5.09,1897.345,1898.155,1895.228
5.09,1897.595,1898.805,1895.228
4.66,1897.615,1899.708,1895.228
2.993,1896.038,1900.528,1895.228
2.927,1896.308,1902.216,1895.408
3.577,1898.315,1902.216,1896.955
4.48,1897.288,1907.438,1896.955
5.3,1899.645,1909.198,1896.955
6.808,1900.475,1909.198,1896.955
5.261,1898.455,1909.198,1898.278
10.483,1906.255,1909.198,1900.428
12.243,1907.298,1907.348,1900.428
12.243,1903.615,1906.588,1900.428
10.92,1903.565,1906.588,1896.158
8.77,1902.955,1906.588,1896.158
6.92,1905.198,1905.488,1896.158
6.16,1902.358,1905.268,1896.158
10.43,1900.238,1908.445,1896.708
10.43,1897.945,1909.458,1897.335
9.33,1901.345,1912.028,1900.918
9.11,1903.985,1912.028,1903.985
11.737,1908.305,1912.028,1905.498
12.123,1909.448,1912.028,1906.808
11.11,1910.958,1911.218,1906.198
8.043,1910.428,1910.988,1906.198
6.53,1908.488,1911.355,1906.198
5.22,1908.915,1911.585,1906.198
5.02,1908.518,1911.585,1906.928
4.79,1908.388,1911.585,1905.785
5.157,1910.735,1911.585,1904.755
5.387,1910.228,1910.888,1904.755
4.657,1907.985,1909.295,1904.755
5.8,1906.265,1909.778,1904.755
6.83,1906.115,1910.418,1905.588
6.133,1908.288,1910.418,1905.568
4.54,1907.928,1910.418,1904.858
5.023,1909.415,1910.418,1903.698
4.83,1908.418,1908.588,1903.558
4.85,1906.278,1906.778,1903.558
5.56,1905.808,1906.478,1903.558
6.72,1903.878,1906.478,1903.558
5.03,1905.288,1906.308,1903.935
3.22,1905.238,1907.398,1904.348
2.92,1905.118,1907.398,1904.348
2.92,1904.978,1907.398,1904.495
2.373,1905.055,1907.398,1904.845
3.05,1905.935,1906.535,1904.845
3.05,1905.825,1905.855,1904.408
2.903,1905.578,1905.628,1902.508
2.553,1905.108,1905.538,1900.955
1.69,1904.965,1905.215,1900.955
